date,underlying,expiry,strategy_type,legs,strategy_id
2024-06-13,NIFTY,2024-06-13 00:00:00,Strangle,23500.0-CE--25;23200.0-PE--25,20240613_NIFTY_2024-06-13 00:00:00_Strangle_23500.0_CE_-1|23200.0_PE_-1
2024-06-18,NIFTY,2024-06-20 00:00:00,Naked Put Sell,23450.0-PE--25,20240618_NIFTY_2024-06-20 00:00:00_Naked Put Sell_23450.0_PE_-1
2024-06-19,NIFTY,2024-06-20 00:00:00,Strangle,23650.0-CE--25;23450.0-PE--25,20240619_NIFTY_2024-06-20 00:00:00_Strangle_23650.0_CE_-1|23450.0_PE_-1
2024-06-20,NIFTY,2024-06-20 00:00:00,Strangle,23650.0-CE--25;23450.0-PE--25,20240620_NIFTY_2024-06-20 00:00:00_Strangle_23650.0_CE_-1|23450.0_PE_-1
2024-06-21,NIFTY,2024-06-27 00:00:00,Naked Call Sell,23600.0-CE--25,20240621_NIFTY_2024-06-27 00:00:00_Naked Call Sell_23600.0_CE_-1
2024-06-24,NIFTY,2024-06-27 00:00:00,Strangle,23600.0-CE--25;23350.0-PE--25,20240624_NIFTY_2024-06-27 00:00:00_Strangle_23600.0_CE_-1|23350.0_PE_-1
2024-06-24,NIFTY,2024-06-27 00:00:00,Naked Call Sell,23650.0-CE--25,20240624_NIFTY_2024-06-27 00:00:00_Naked Call Sell_23650.0_CE_-1
2024-06-25,NIFTY,2024-06-27 00:00:00,Strangle,23650.0-CE--25;23350.0-PE--25,20240625_NIFTY_2024-06-27 00:00:00_Strangle_23650.0_CE_-1|23350.0_PE_-1
2024-06-25,NIFTY,2024-07-04 00:00:00,Naked Call Buy,23700.0-CE-25,20240625_NIFTY_2024-07-04 00:00:00_Naked Call Buy_23700.0_CE_1
2024-06-26,NIFTY,2024-06-27 00:00:00,Strangle,23650.0-CE--25;23350.0-PE--25,20240626_NIFTY_2024-06-27 00:00:00_Strangle_23650.0_CE_-1|23350.0_PE_-1
2024-06-26,NIFTY,2024-07-04 00:00:00,Naked Call Buy,23700.0-CE-25,20240626_NIFTY_2024-07-04 00:00:00_Naked Call Buy_23700.0_CE_1
2024-06-27,NIFTY,2024-06-27 00:00:00,Naked Put Sell,23350.0-PE--25,20240627_NIFTY_2024-06-27 00:00:00_Naked Put Sell_23350.0_PE_-1
2024-06-28,NIFTY,2024-07-04 00:00:00,Strangle,24400.0-CE--25;23800.0-PE--25,20240628_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1
2024-07-01,NIFTY,2024-07-04 00:00:00,Strangle,24400.0-CE--25;23800.0-PE--25,20240701_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1
2024-07-02,NIFTY,2024-07-04 00:00:00,Strangle,24400.0-CE--25;23800.0-PE--25,20240702_NIFTY_2024-07-04 00:00:00_Strangle_24400.0_CE_-1|23800.0_PE_-1
