symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
NIFTY2462023450PE,,20-06-2024,NSE,FO,,buy,FALSE,25,5.35,732505326,2000000173344497,2024-06-20T13:11:21,20-06-2024
NIFTY2462023650CE,,20-06-2024,NSE,FO,,buy,FALSE,25,8.3,12628292,1000000181547307,2024-06-20T13:11:21,20-06-2024
NIFTY24JUN23600CE,,21-06-2024,NSE,FO,,sell,FALSE,25,74.75,4720047,1000000135162556,2024-06-21T14:26:24,27-06-2024
NIFTY24JUN23600CE,,24-06-2024,NSE,FO,,buy,FALSE,25,88.8,6467309,1000000173673422,2024-06-24T15:22:27,27-06-2024
NIFTY24JUN23350PE,,24-06-2024,NSE,FO,,sell,FALSE,25,49.55,795519945,2100000154720176,2024-06-24T15:27:05,27-06-2024
NIFTY24JUN23650CE,,24-06-2024,NSE,FO,,sell,FALSE,25,70.6,6577022,1000000174718794,2024-06-24T15:27:06,27-06-2024
NIFTY2470423700CE,,25-06-2024,NSE,FO,,buy,FALSE,25,227.9,140952141,1200000049096850,2024-06-25T15:18:13,04-07-2024
NIFTY24JUN23650CE,,26-06-2024,NSE,FO,,buy,FALSE,25,128.4,1257914,1000000032571890,2024-06-26T10:17:11,27-06-2024
NIFTY2470423700CE,,26-06-2024,NSE,FO,,sell,FALSE,25,302.8,140911835,1200000039654875,2024-06-26T12:55:33,04-07-2024
NIFTY2470423800PE,,28-06-2024,NSE,FO,,sell,FALSE,25,51.35,721291607,2000000040335443,2024-06-28T10:40:08,04-07-2024
NIFTY2470424400CE,,28-06-2024,NSE,FO,,sell,FALSE,25,45.95,4560488,1000000152452341,2024-06-28T14:52:17,04-07-2024
NIFTY2470423800PE,,04-07-2024,NSE,FO,,buy,FALSE,25,0.8,722745106,2000000029298267,2024-07-04T09:51:48,04-07-2024
NIFTY2470424400CE,,04-07-2024,NSE,FO,,buy,FALSE,25,49,3524931,1000000033778295,2024-07-04T09:51:48,04-07-2024
NIFTY2471124150PE,,05-07-2024,NSE,FO,,sell,FALSE,25,51.75,794203363,2100000122783042,2024-07-05T15:24:20,11-07-2024
NIFTY2471124500CE,,09-07-2024,NSE,FO,,sell,FALSE,25,41,73918470,1100000051227688,2024-07-09T10:28:13,11-07-2024
NIFTY2471124150PE,,11-07-2024,NSE,FO,,buy,FALSE,25,7.7,792529770,2100000027453972,2024-07-11T09:39:40,11-07-2024
NIFTY2471124500CE,,11-07-2024,NSE,FO,,buy,FALSE,25,4.8,72252373,1100000024922863,2024-07-11T09:39:40,11-07-2024
NIFTY2471824700PE,,16-07-2024,NSE,FO,,sell,FALSE,25,102.4,795080705,2100000085678193,2024-07-16T12:28:55,18-07-2024
NIFTY2471824700PE,,16-07-2024,NSE,FO,,buy,FALSE,25,104.35,795114212,2100000086404198,2024-07-16T12:31:52,18-07-2024
NIFTY2471824800CE,,16-07-2024,NSE,FO,,sell,FALSE,25,19.3,5400660,1000000089836953,2024-07-16T12:34:55,18-07-2024
NIFTY2471824500PE,,16-07-2024,NSE,FO,,sell,FALSE,25,32.1,795162288,2100000087264931,2024-07-16T12:35:22,18-07-2024
NIFTY2471824800CE,,18-07-2024,NSE,FO,,buy,FALSE,25,7,4351508,1000000041742752,2024-07-18T09:56:07,18-07-2024
NIFTY2471824500PE,,18-07-2024,NSE,FO,,buy,FALSE,25,0.6,815859932,2100000263735491,2024-07-18T14:55:50,18-07-2024
NIFTY24JUL24400PE,,22-07-2024,NSE,FO,,sell,FALSE,25,143,721492081,2000000047814244,2024-07-22T10:52:38,25-07-2024
NIFTY24JUL24600CE,,23-07-2024,NSE,FO,,sell,FALSE,25,39.75,21079075,1000000326324208,2024-07-23T13:47:03,25-07-2024
NIFTY24JUL24400PE,,24-07-2024,NSE,FO,,buy,FALSE,25,90.15,727011956,2000000221674493,2024-07-24T15:07:00,25-07-2024
NIFTY24JUL24600CE,,24-07-2024,NSE,FO,,buy,FALSE,25,12.35,7530983,1000000212964167,2024-07-24T15:07:29,25-07-2024
NIFTY2480124400PE,,26-07-2024,NSE,FO,,sell,FALSE,25,47.55,722260299,2000000058901306,2024-07-26T12:19:56,01-08-2024
NIFTY2480125150CE,,26-07-2024,NSE,FO,,sell,FALSE,25,29.2,76211916,1100000167585021,2024-07-26T15:23:04,01-08-2024
NIFTY2480124400PE,,01-08-2024,NSE,FO,,buy,FALSE,25,0.65,727762640,2000000084432420,2024-08-01T11:00:31,01-08-2024
NIFTY2480125150CE,,01-08-2024,NSE,FO,,buy,FALSE,25,4.55,75618470,1100000075017428,2024-08-01T11:00:37,01-08-2024
NIFTY2480824500CE,,05-08-2024,NSE,FO,,sell,FALSE,25,44.6,88107182,1100000209923608,2024-08-05T15:01:17,08-08-2024
NIFTY2480823900PE,,07-08-2024,NSE,FO,,sell,FALSE,25,17.4,812675956,2100000063784189,2024-08-07T10:50:44,08-08-2024
NIFTY2480823900PE,,08-08-2024,NSE,FO,,buy,FALSE,25,0.35,833767330,2100000403224760,2024-08-08T14:45:57,08-08-2024
NIFTY2480824500CE,,08-08-2024,NSE,FO,,buy,FALSE,25,0.35,102757978,1100000359666725,2024-08-08T14:46:03,08-08-2024
NIFTY2481424100PE,,13-08-2024,NSE,FO,,sell,FALSE,25,31.5,812476664,2100000027094363,2024-08-13T09:36:19,14-08-2024
NIFTY2481424500CE,,13-08-2024,NSE,FO,,sell,FALSE,25,38,82186361,1100000023894753,2024-08-13T09:36:20,14-08-2024
NIFTY2481424100PE,,14-08-2024,NSE,FO,,buy,FALSE,25,8.3,818124121,2100000119448182,2024-08-14T13:25:21,14-08-2024
NIFTY2481424500CE,,14-08-2024,NSE,FO,,buy,FALSE,25,0.7,89150050,1100000123477954,2024-08-14T13:25:30,14-08-2024
NIFTY2482224400PE,,19-08-2024,NSE,FO,,sell,FALSE,25,56,730758856,2000000014983011,2024-08-19T09:37:09,22-08-2024
NIFTY2482224800CE,,19-08-2024,NSE,FO,,sell,FALSE,25,30.35,3826542,1000000103801551,2024-08-19T12:57:22,22-08-2024
NIFTY2482224800CE,,21-08-2024,NSE,FO,,buy,FALSE,25,45.55,4992370,1000000137386561,2024-08-21T15:27:41,22-08-2024
NIFTY2482224400PE,,21-08-2024,NSE,FO,,buy,FALSE,25,3.45,734588519,2000000135032151,2024-08-21T15:28:58,22-08-2024
NIFTY24AUG24650PE,,23-08-2024,NSE,FO,,sell,FALSE,25,48.75,733156315,2000000098996029,2024-08-23T14:40:03,29-08-2024
NIFTY24AUG25050CE,,23-08-2024,NSE,FO,,sell,FALSE,25,44.95,3231687,1000000105940874,2024-08-23T14:40:03,29-08-2024
NIFTY24AUG25050CE,,26-08-2024,NSE,FO,,buy,FALSE,25,115.1,2037855,1000000040361090,2024-08-26T10:18:11,29-08-2024
NIFTY24AUG25150CE,,26-08-2024,NSE,FO,,sell,FALSE,25,52.4,85208901,1100000136680051,2024-08-26T15:13:47,29-08-2024
NIFTY24AUG24650PE,,29-08-2024,NSE,FO,,buy,FALSE,25,0.35,758374952,2000000297617789,2024-08-29T15:05:33,29-08-2024
NIFTY2490525000PE,,02-09-2024,NSE,FO,,sell,FALSE,25,29.9,734197281,2000000113513046,2024-09-02T14:35:11,05-09-2024
